image,tile,ground_truth,path,group
Screenshot-00002.png,1,857,output/Screenshot-00002_tile_1.png,Screenshot-00002
Screenshot-00002.png,2,761,output/Screenshot-00002_tile_2.png,Screenshot-00002
Screenshot-00002.png,3,916,output/Screenshot-00002_tile_3.png,Screenshot-00002
Screenshot-00002.png,4,209,output/Screenshot-00002_tile_4.png,Screenshot-00002
Screenshot-00002.png,5,633,output/Screenshot-00002_tile_5.png,Screenshot-00002
Screenshot-00002.png,6,399,output/Screenshot-00002_tile_6.png,Screenshot-00002
Screenshot-00002.png,7,621,output/Screenshot-00002_tile_7.png,Screenshot-00002
Screenshot-00002.png,8,633,output/Screenshot-00002_tile_8.png,Screenshot-00002
Screenshot-00002.png,9,633,output/Screenshot-00002_tile_9.png,Screenshot-00002
Screenshot-00003.png,1,721,output/Screenshot-00003_tile_1.png,Screenshot-00003
Screenshot-00003.png,2,721,output/Screenshot-00003_tile_2.png,Screenshot-00003
Screenshot-00003.png,3,249,output/Screenshot-00003_tile_3.png,Screenshot-00003
Screenshot-00003.png,4,716,output/Screenshot-00003_tile_4.png,Screenshot-00003
Screenshot-00003.png,5,721,output/Screenshot-00003_tile_5.png,Screenshot-00003
Screenshot-00003.png,6,721,output/Screenshot-00003_tile_6.png,Screenshot-00003
Screenshot-00003.png,7,721,output/Screenshot-00003_tile_7.png,Screenshot-00003
Screenshot-00003.png,8,721,output/Screenshot-00003_tile_8.png,Screenshot-00003
Screenshot-00003.png,9,247,output/Screenshot-00003_tile_9.png,Screenshot-00003
Screenshot-00005.png,1,320,output/Screenshot-00005_tile_1.png,Screenshot-00005
Screenshot-00005.png,2,285,output/Screenshot-00005_tile_2.png,Screenshot-00005
Screenshot-00005.png,3,489,output/Screenshot-00005_tile_3.png,Screenshot-00005
Screenshot-00005.png,4,290,output/Screenshot-00005_tile_4.png,Screenshot-00005
Screenshot-00005.png,5,619,output/Screenshot-00005_tile_5.png,Screenshot-00005
Screenshot-00005.png,6,619,output/Screenshot-00005_tile_6.png,Screenshot-00005
Screenshot-00005.png,7,162,output/Screenshot-00005_tile_7.png,Screenshot-00005
Screenshot-00005.png,8,619,output/Screenshot-00005_tile_8.png,Screenshot-00005
Screenshot-00005.png,9,619,output/Screenshot-00005_tile_9.png,Screenshot-00005
Screenshot-00007.png,1,905,output/Screenshot-00007_tile_1.png,Screenshot-00007
Screenshot-00007.png,2,388,output/Screenshot-00007_tile_2.png,Screenshot-00007
Screenshot-00007.png,3,195,output/Screenshot-00007_tile_3.png,Screenshot-00007
Screenshot-00007.png,4,462,output/Screenshot-00007_tile_4.png,Screenshot-00007
Screenshot-00007.png,5,388,output/Screenshot-00007_tile_5.png,Screenshot-00007
Screenshot-00007.png,6,991,output/Screenshot-00007_tile_6.png,Screenshot-00007
Screenshot-00007.png,7,388,output/Screenshot-00007_tile_7.png,Screenshot-00007
Screenshot-00007.png,8,388,output/Screenshot-00007_tile_8.png,Screenshot-00007
Screenshot-00007.png,9,388,output/Screenshot-00007_tile_9.png,Screenshot-00007
Screenshot-00008.png,1,654,output/Screenshot-00008_tile_1.png,Screenshot-00008
Screenshot-00008.png,2,590,output/Screenshot-00008_tile_2.png,Screenshot-00008
Screenshot-00008.png,3,694,output/Screenshot-00008_tile_3.png,Screenshot-00008
Screenshot-00008.png,4,654,output/Screenshot-00008_tile_4.png,Screenshot-00008
Screenshot-00008.png,5,678,output/Screenshot-00008_tile_5.png,Screenshot-00008
