image,tile,ground_truth
Screenshot-00001.png,1,350
Screenshot-00001.png,2,350
Screenshot-00001.png,3,350
Screenshot-00001.png,4,350
Screenshot-00001.png,5,722
Screenshot-00001.png,6,350
Screenshot-00001.png,7,141
Screenshot-00001.png,8,350
Screenshot-00001.png,9,833
Screenshot-00002.png,1,857
Screenshot-00002.png,2,761
Screenshot-00002.png,3,916
Screenshot-00002.png,4,209
Screenshot-00002.png,5,633
Screenshot-00002.png,6,399
Screenshot-00002.png,7,621
Screenshot-00002.png,8,633
Screenshot-00002.png,9,633
Screenshot-00003.png,1,721
Screenshot-00003.png,2,721
Screenshot-00003.png,3,249
Screenshot-00003.png,4,716
Screenshot-00003.png,5,721
Screenshot-00003.png,6,721
Screenshot-00003.png,7,721
Screenshot-00003.png,8,721
Screenshot-00003.png,9,247
Screenshot-00004.png,1,576
Screenshot-00004.png,2,576
Screenshot-00004.png,3,434
Screenshot-00004.png,4,576
Screenshot-00004.png,5,576
Screenshot-00004.png,6,931
Screenshot-00004.png,7,902
Screenshot-00004.png,8,799
Screenshot-00004.png,9,692
Screenshot-00005.png,1,320
Screenshot-00005.png,2,285
Screenshot-00005.png,3,489
Screenshot-00005.png,4,290
Screenshot-00005.png,5,619
Screenshot-00005.png,6,619
Screenshot-00005.png,7,162
Screenshot-00005.png,8,619
Screenshot-00005.png,9,619
Screenshot-00006.png,1,332
Screenshot-00006.png,2,766
Screenshot-00006.png,3,766
Screenshot-00006.png,4,412
Screenshot-00006.png,5,766
Screenshot-00006.png,6,122
Screenshot-00006.png,7,888
Screenshot-00006.png,8,766
Screenshot-00006.png,9,766
Screenshot-00007.png,1,905
Screenshot-00007.png,2,388
Screenshot-00007.png,3,195
Screenshot-00007.png,4,462
Screenshot-00007.png,5,388
Screenshot-00007.png,6,991
Screenshot-00007.png,7,388
Screenshot-00007.png,8,388
Screenshot-00007.png,9,388
Screenshot-00008.png,1,654
Screenshot-00008.png,2,590
Screenshot-00008.png,3,694
Screenshot-00008.png,4,654
Screenshot-00008.png,5,678
Screenshot-00008.png,6,654
Screenshot-00008.png,7,654
Screenshot-00008.png,8,654
Screenshot-00008.png,9,871
Screenshot-00009.png,1,653
Screenshot-00009.png,2,653
Screenshot-00009.png,3,311
Screenshot-00009.png,4,653
Screenshot-00009.png,5,853
Screenshot-00009.png,6,265
Screenshot-00009.png,7,653
Screenshot-00009.png,8,653
Screenshot-00009.png,9,536
Screenshot-00010.png,1,522
Screenshot-00010.png,2,331
Screenshot-00010.png,3,913
Screenshot-00010.png,4,331
Screenshot-00010.png,5,651
Screenshot-00010.png,6,331
Screenshot-00010.png,7,331
Screenshot-00010.png,8,331
Screenshot-00010.png,9,448
Screenshot-00011.png,1,464
Screenshot-00011.png,2,298
Screenshot-00011.png,3,468
Screenshot-00011.png,4,640
Screenshot-00011.png,5,464
Screenshot-00011.png,6,464
Screenshot-00011.png,7,937
Screenshot-00011.png,8,185
Screenshot-00011.png,9,464
Screenshot-00012.png,1,248
Screenshot-00012.png,2,748
Screenshot-00012.png,3,572
Screenshot-00012.png,4,514
Screenshot-00012.png,5,899
Screenshot-00012.png,6,572
Screenshot-00012.png,7,571
Screenshot-00012.png,8,572
Screenshot-00012.png,9,160
Screenshot-00013.png,1,391
Screenshot-00013.png,2,367
Screenshot-00013.png,3,170
Screenshot-00013.png,4,274
Screenshot-00013.png,5,170
Screenshot-00013.png,6,170
Screenshot-00013.png,7,897
Screenshot-00013.png,8,170
Screenshot-00013.png,9,170
Screenshot-00014.png,1,543
Screenshot-00014.png,2,308
Screenshot-00014.png,3,596
Screenshot-00014.png,4,212
Screenshot-00014.png,5,586
Screenshot-00014.png,6,212
Screenshot-00014.png,7,220
Screenshot-00014.png,8,212
Screenshot-00014.png,9,746
Screenshot-00015.png,1,479
Screenshot-00015.png,2,991
Screenshot-00015.png,3,479
Screenshot-00015.png,4,479
Screenshot-00015.png,5,479
Screenshot-00015.png,6,150
Screenshot-00015.png,7,191
Screenshot-00015.png,8,890
Screenshot-00015.png,9,222
Screenshot-00016.png,1,528
Screenshot-00016.png,2,144
Screenshot-00016.png,3,123
Screenshot-00016.png,4,510
Screenshot-00016.png,5,510
Screenshot-00016.png,6,478
Screenshot-00016.png,7,510
Screenshot-00016.png,8,510
Screenshot-00016.png,9,510
Screenshot-00017.png,1,478
Screenshot-00017.png,2,328
Screenshot-00017.png,3,800
Screenshot-00017.png,4,462
Screenshot-00017.png,5,484
Screenshot-00017.png,6,357
Screenshot-00017.png,7,727
Screenshot-00017.png,8,328
Screenshot-00017.png,9,328
Screenshot-00018.png,1,128
Screenshot-00018.png,2,731
Screenshot-00018.png,3,128
Screenshot-00018.png,4,173
Screenshot-00018.png,5,404
Screenshot-00018.png,6,128
Screenshot-00018.png,7,128
Screenshot-00018.png,8,128
Screenshot-00018.png,9,128
Screenshot-00019.png,1,235
Screenshot-00019.png,2,235
Screenshot-00019.png,3,235
Screenshot-00019.png,4,235
Screenshot-00019.png,5,895
Screenshot-00019.png,6,235
Screenshot-00019.png,7,847
Screenshot-00019.png,8,865
Screenshot-00019.png,9,857
Screenshot-00020.png,1,988
Screenshot-00020.png,2,639
Screenshot-00020.png,3,652
Screenshot-00020.png,4,151
Screenshot-00020.png,5,639
Screenshot-00020.png,6,832
Screenshot-00020.png,7,639
Screenshot-00020.png,8,957
Screenshot-00020.png,9,639
Screenshot-00021.png,1,645
Screenshot-00021.png,2,645
Screenshot-00021.png,3,523
Screenshot-00021.png,4,645
Screenshot-00021.png,5,645
Screenshot-00021.png,6,739
Screenshot-00021.png,7,645
Screenshot-00021.png,8,650
Screenshot-00021.png,9,645
Screenshot-00022.png,1,730
Screenshot-00022.png,2,151
Screenshot-00022.png,3,586
Screenshot-00022.png,4,586
Screenshot-00022.png,5,586
Screenshot-00022.png,6,773
Screenshot-00022.png,7,228
Screenshot-00022.png,8,586
Screenshot-00022.png,9,586
Screenshot-00023.png,1,909
Screenshot-00023.png,2,671
Screenshot-00023.png,3,856
Screenshot-00023.png,4,909
Screenshot-00023.png,5,909
Screenshot-00023.png,6,909
Screenshot-00023.png,7,909
Screenshot-00023.png,8,261
Screenshot-00023.png,9,909
Screenshot-00024.png,1,499
Screenshot-00024.png,2,913
Screenshot-00024.png,3,895
Screenshot-00024.png,4,913
Screenshot-00024.png,5,913
Screenshot-00024.png,6,556
Screenshot-00024.png,7,412
Screenshot-00024.png,8,913
Screenshot-00024.png,9,913
Screenshot-00025.png,1,789
Screenshot-00025.png,2,788
Screenshot-00025.png,3,788
Screenshot-00025.png,4,788
Screenshot-00025.png,5,463
Screenshot-00025.png,6,788
Screenshot-00025.png,7,781
Screenshot-00025.png,8,788
Screenshot-00025.png,9,788
Screenshot-00026.png,1,861
Screenshot-00026.png,2,475
Screenshot-00026.png,3,475
Screenshot-00026.png,4,552
Screenshot-00026.png,5,701
Screenshot-00026.png,6,475
Screenshot-00026.png,7,475
Screenshot-00026.png,8,475
Screenshot-00026.png,9,475
Screenshot-00027.png,1,540
Screenshot-00027.png,2,540
Screenshot-00027.png,3,316
Screenshot-00027.png,4,597
Screenshot-00027.png,5,540
Screenshot-00027.png,6,540
Screenshot-00027.png,7,101
Screenshot-00027.png,8,711
Screenshot-00027.png,9,908
Screenshot-00028.png,1,186
Screenshot-00028.png,2,165
Screenshot-00028.png,3,586
Screenshot-00028.png,4,761
Screenshot-00028.png,5,478
Screenshot-00028.png,6,623
Screenshot-00028.png,7,761
Screenshot-00028.png,8,761
Screenshot-00028.png,9,327
Screenshot-00029.png,1,412
Screenshot-00029.png,2,412
Screenshot-00029.png,3,142
Screenshot-00029.png,4,840
Screenshot-00029.png,5,412
Screenshot-00029.png,6,207
Screenshot-00029.png,7,866
Screenshot-00029.png,8,445
Screenshot-00029.png,9,757
Screenshot-00030.png,1,415
Screenshot-00030.png,2,415
Screenshot-00030.png,3,415
Screenshot-00030.png,4,957
Screenshot-00030.png,5,415
Screenshot-00030.png,6,118
Screenshot-00030.png,7,415
Screenshot-00030.png,8,415
Screenshot-00030.png,9,515
Screenshot-00031.png,1,117
Screenshot-00031.png,2,404
Screenshot-00031.png,3,507
Screenshot-00031.png,4,507
Screenshot-00031.png,5,239
Screenshot-00031.png,6,507
Screenshot-00031.png,7,221
Screenshot-00031.png,8,507
Screenshot-00031.png,9,507
Screenshot-00032.png,1,618
Screenshot-00032.png,2,784
Screenshot-00032.png,3,865
Screenshot-00032.png,4,392
Screenshot-00032.png,5,630
Screenshot-00032.png,6,865
Screenshot-00032.png,7,811
Screenshot-00032.png,8,865
Screenshot-00032.png,9,865
Screenshot-00033.png,1,491
Screenshot-00033.png,2,172
Screenshot-00033.png,3,868
Screenshot-00033.png,4,491
Screenshot-00033.png,5,491
Screenshot-00033.png,6,292
Screenshot-00033.png,7,491
Screenshot-00033.png,8,491
Screenshot-00033.png,9,491
Screenshot-00034.png,1,671
Screenshot-00034.png,2,671
Screenshot-00034.png,3,671
Screenshot-00034.png,4,599
Screenshot-00034.png,5,671
Screenshot-00034.png,6,671
Screenshot-00034.png,7,671
Screenshot-00034.png,8,842
Screenshot-00034.png,9,376
Screenshot-00035.png,1,406
Screenshot-00035.png,2,406
Screenshot-00035.png,3,913
Screenshot-00035.png,4,207
Screenshot-00035.png,5,407
Screenshot-00035.png,6,406
Screenshot-00035.png,7,134
Screenshot-00035.png,8,396
Screenshot-00035.png,9,358
Screenshot-00036.png,1,214
Screenshot-00036.png,2,606
Screenshot-00036.png,3,489
Screenshot-00036.png,4,214
Screenshot-00036.png,5,812
Screenshot-00036.png,6,214
Screenshot-00036.png,7,214
Screenshot-00036.png,8,377
Screenshot-00036.png,9,100
Screenshot-00037.png,1,851
Screenshot-00037.png,2,126
Screenshot-00037.png,3,126
Screenshot-00037.png,4,311
Screenshot-00037.png,5,956
Screenshot-00037.png,6,126
Screenshot-00037.png,7,718
Screenshot-00037.png,8,126
Screenshot-00037.png,9,913
Screenshot-00038.png,1,434
Screenshot-00038.png,2,546
Screenshot-00038.png,3,434
Screenshot-00038.png,4,434
Screenshot-00038.png,5,434
Screenshot-00038.png,6,434
Screenshot-00038.png,7,874
Screenshot-00038.png,8,472
Screenshot-00038.png,9,434
Screenshot-00039.png,1,263
Screenshot-00039.png,2,929
Screenshot-00039.png,3,263
Screenshot-00039.png,4,263
Screenshot-00039.png,5,551
Screenshot-00039.png,6,494
Screenshot-00039.png,7,263
Screenshot-00039.png,8,497
Screenshot-00039.png,9,224
Screenshot-00040.png,1,865
Screenshot-00040.png,2,865
Screenshot-00040.png,3,660
Screenshot-00040.png,4,865
Screenshot-00040.png,5,865
Screenshot-00040.png,6,234
Screenshot-00040.png,7,856
Screenshot-00040.png,8,865
Screenshot-00040.png,9,770
Screenshot-00041.png,1,578
Screenshot-00041.png,2,783
Screenshot-00041.png,3,783
Screenshot-00041.png,4,523
Screenshot-00041.png,5,783
Screenshot-00041.png,6,783
Screenshot-00041.png,7,783
Screenshot-00041.png,8,226
Screenshot-00041.png,9,783
Screenshot-00042.png,1,276
Screenshot-00042.png,2,985
Screenshot-00042.png,3,418
Screenshot-00042.png,4,276
Screenshot-00042.png,5,276
Screenshot-00042.png,6,276
Screenshot-00042.png,7,877
Screenshot-00042.png,8,578
Screenshot-00042.png,9,276
Screenshot-00043.png,1,109
Screenshot-00043.png,2,863
Screenshot-00043.png,3,905
Screenshot-00043.png,4,415
Screenshot-00043.png,5,863
Screenshot-00043.png,6,863
Screenshot-00043.png,7,863
Screenshot-00043.png,8,863
Screenshot-00043.png,9,863
Screenshot-00044.png,1,715
Screenshot-00044.png,2,360
Screenshot-00044.png,3,715
Screenshot-00044.png,4,986
Screenshot-00044.png,5,715
Screenshot-00044.png,6,715
Screenshot-00044.png,7,186
Screenshot-00044.png,8,526
Screenshot-00044.png,9,715
Screenshot-00045.png,1,490
Screenshot-00045.png,2,490
Screenshot-00045.png,3,490
Screenshot-00045.png,4,742
Screenshot-00045.png,5,112
Screenshot-00045.png,6,600
Screenshot-00045.png,7,844
Screenshot-00045.png,8,379
Screenshot-00045.png,9,147
Screenshot-00046.png,1,920
Screenshot-00046.png,2,684
Screenshot-00046.png,3,599
Screenshot-00046.png,4,599
Screenshot-00046.png,5,599
Screenshot-00046.png,6,699
Screenshot-00046.png,7,721
Screenshot-00046.png,8,328
Screenshot-00046.png,9,599
Screenshot-00047.png,1,279
Screenshot-00047.png,2,756
Screenshot-00047.png,3,312
Screenshot-00047.png,4,756
Screenshot-00047.png,5,859
Screenshot-00047.png,6,756
Screenshot-00047.png,7,756
Screenshot-00047.png,8,213
Screenshot-00047.png,9,897
Screenshot-00048.png,1,145
Screenshot-00048.png,2,736
Screenshot-00048.png,3,145
Screenshot-00048.png,4,145
Screenshot-00048.png,5,532
Screenshot-00048.png,6,145
Screenshot-00048.png,7,425
Screenshot-00048.png,8,403
Screenshot-00048.png,9,145
Screenshot-00049.png,1,460
Screenshot-00049.png,2,177
Screenshot-00049.png,3,141
Screenshot-00049.png,4,948
Screenshot-00049.png,5,367
Screenshot-00049.png,6,460
Screenshot-00049.png,7,199
Screenshot-00049.png,8,460
Screenshot-00049.png,9,460
Screenshot-00050.png,1,599
Screenshot-00050.png,2,343
Screenshot-00050.png,3,343
Screenshot-00050.png,4,343
Screenshot-00050.png,5,781
Screenshot-00050.png,6,343
Screenshot-00050.png,7,564
Screenshot-00050.png,8,343
Screenshot-00050.png,9,458
Screenshot-00051.png,1,385
Screenshot-00051.png,2,928
Screenshot-00051.png,3,951
Screenshot-00051.png,4,951
Screenshot-00051.png,5,534
Screenshot-00051.png,6,951
Screenshot-00051.png,7,864
Screenshot-00051.png,8,345
Screenshot-00051.png,9,360
Screenshot-00052.png,1,954
Screenshot-00052.png,2,284
Screenshot-00052.png,3,380
Screenshot-00052.png,4,954
Screenshot-00052.png,5,844
Screenshot-00052.png,6,954
Screenshot-00052.png,7,782
Screenshot-00052.png,8,954
Screenshot-00052.png,9,954
Screenshot-00053.png,1,429
Screenshot-00053.png,2,450
Screenshot-00053.png,3,511
Screenshot-00053.png,4,511
Screenshot-00053.png,5,511
Screenshot-00053.png,6,511
Screenshot-00053.png,7,504
Screenshot-00053.png,8,157
Screenshot-00053.png,9,593
Screenshot-00054.png,1,769
Screenshot-00054.png,2,415
Screenshot-00054.png,3,415
Screenshot-00054.png,4,251
Screenshot-00054.png,5,402
Screenshot-00054.png,6,415
Screenshot-00054.png,7,415
Screenshot-00054.png,8,338
Screenshot-00054.png,9,647
Screenshot-00055.png,1,260
Screenshot-00055.png,2,629
Screenshot-00055.png,3,629
Screenshot-00055.png,4,629
Screenshot-00055.png,5,438
Screenshot-00055.png,6,796
Screenshot-00055.png,7,557
Screenshot-00055.png,8,561
Screenshot-00055.png,9,884
Screenshot-00056.png,1,634
Screenshot-00056.png,2,941
Screenshot-00056.png,3,634
Screenshot-00056.png,4,776
Screenshot-00056.png,5,474
Screenshot-00056.png,6,213
Screenshot-00056.png,7,931
Screenshot-00056.png,8,526
Screenshot-00056.png,9,634
Screenshot-00057.png,1,538
Screenshot-00057.png,2,925
Screenshot-00057.png,3,925
Screenshot-00057.png,4,268
Screenshot-00057.png,5,925
Screenshot-00057.png,6,925
Screenshot-00057.png,7,708
Screenshot-00057.png,8,763
Screenshot-00057.png,9,925
