image,tile,ground_truth
Screenshot-00001,1,350
Screenshot-00001,2,350
Screenshot-00001,3,350
Screenshot-00001,4,350
Screenshot-00001,5,722
Screenshot-00001,6,350
Screenshot-00001,7,141
Screenshot-00001,8,350
Screenshot-00001,9,833
Screenshot-00002,1,857
Screenshot-00002,2,761
Screenshot-00002,3,916
Screenshot-00002,4,209
Screenshot-00002,5,633
Screenshot-00002,6,399
Screenshot-00002,7,621
Screenshot-00002,8,633
Screenshot-00002,9,633
Screenshot-00003,1,721
Screenshot-00003,2,721
Screenshot-00003,3,249
Screenshot-00003,4,716
Screenshot-00003,5,721
Screenshot-00003,6,721
Screenshot-00003,7,721
Screenshot-00003,8,721
Screenshot-00003,9,247
Screenshot-00004,1,576
Screenshot-00004,2,576
Screenshot-00004,3,434
Screenshot-00004,4,576
Screenshot-00004,5,576
Screenshot-00004,6,931
Screenshot-00004,7,902
Screenshot-00004,8,799
Screenshot-00004,9,692
Screenshot-00005,1,320
Screenshot-00005,2,285
Screenshot-00005,3,489
Screenshot-00005,4,290
Screenshot-00005,5,619
Screenshot-00005,6,619
Screenshot-00005,7,162
Screenshot-00005,8,619
Screenshot-00005,9,619
Screenshot-00006,1,332
Screenshot-00006,2,766
Screenshot-00006,3,766
Screenshot-00006,4,412
Screenshot-00006,5,766
Screenshot-00006,6,122
Screenshot-00006,7,888
Screenshot-00006,8,766
Screenshot-00006,9,766
Screenshot-00007,1,905
Screenshot-00007,2,388
Screenshot-00007,3,195
Screenshot-00007,4,462
Screenshot-00007,5,388
Screenshot-00007,6,991
Screenshot-00007,7,388
Screenshot-00007,8,388
Screenshot-00007,9,388
Screenshot-00008,1,654
Screenshot-00008,2,590
Screenshot-00008,3,694
Screenshot-00008,4,654
Screenshot-00008,5,678
Screenshot-00008,6,654
Screenshot-00008,7,654
Screenshot-00008,8,654
Screenshot-00008,9,871
Screenshot-00009,1,653
Screenshot-00009,2,653
Screenshot-00009,3,311
Screenshot-00009,4,653
Screenshot-00009,5,853
Screenshot-00009,6,265
Screenshot-00009,7,653
Screenshot-00009,8,653
Screenshot-00009,9,536
Screenshot-00010,1,522
Screenshot-00010,2,331
Screenshot-00010,3,913
Screenshot-00010,4,331
Screenshot-00010,5,651
Screenshot-00010,6,331
Screenshot-00010,7,331
Screenshot-00010,8,331
Screenshot-00010,9,448
Screenshot-00011,1,464
Screenshot-00011,2,298
Screenshot-00011,3,468
Screenshot-00011,4,640
Screenshot-00011,5,464
Screenshot-00011,6,464
Screenshot-00011,7,937
Screenshot-00011,8,185
Screenshot-00011,9,464
Screenshot-00012,1,248
Screenshot-00012,2,748
Screenshot-00012,3,572
Screenshot-00012,4,514
Screenshot-00012,5,899
Screenshot-00012,6,572
Screenshot-00012,7,571
Screenshot-00012,8,572
Screenshot-00012,9,160
Screenshot-00013,1,391
Screenshot-00013,2,367
Screenshot-00013,3,170
Screenshot-00013,4,274
Screenshot-00013,5,170
Screenshot-00013,6,170
Screenshot-00013,7,897
Screenshot-00013,8,170
Screenshot-00013,9,170
Screenshot-00014,1,543
Screenshot-00014,2,308
Screenshot-00014,3,596
Screenshot-00014,4,212
Screenshot-00014,5,586
Screenshot-00014,6,212
Screenshot-00014,7,220
Screenshot-00014,8,212
Screenshot-00014,9,746
Screenshot-00015,1,479
Screenshot-00015,2,991
Screenshot-00015,3,479
Screenshot-00015,4,479
Screenshot-00015,5,479
Screenshot-00015,6,150
Screenshot-00015,7,191
Screenshot-00015,8,890
Screenshot-00015,9,222
Screenshot-00016,1,528
Screenshot-00016,2,144
Screenshot-00016,3,123
Screenshot-00016,4,510
Screenshot-00016,5,510
Screenshot-00016,6,478
Screenshot-00016,7,510
Screenshot-00016,8,510
Screenshot-00016,9,510
Screenshot-00017,1,478
Screenshot-00017,2,328
Screenshot-00017,3,800
Screenshot-00017,4,462
Screenshot-00017,5,484
Screenshot-00017,6,357
Screenshot-00017,7,727
Screenshot-00017,8,328
Screenshot-00017,9,328
Screenshot-00018,1,128
Screenshot-00018,2,731
Screenshot-00018,3,128
Screenshot-00018,4,173
Screenshot-00018,5,404
Screenshot-00018,6,128
Screenshot-00018,7,128
Screenshot-00018,8,128
Screenshot-00018,9,128
Screenshot-00019,1,235
Screenshot-00019,2,235
Screenshot-00019,3,235
Screenshot-00019,4,235
Screenshot-00019,5,895
Screenshot-00019,6,235
Screenshot-00019,7,847
Screenshot-00019,8,865
Screenshot-00019,9,857
Screenshot-00020,1,988
Screenshot-00020,2,639
Screenshot-00020,3,652
Screenshot-00020,4,151
Screenshot-00020,5,639
Screenshot-00020,6,832
Screenshot-00020,7,639
Screenshot-00020,8,957
Screenshot-00020,9,639
Screenshot-00021,1,645
Screenshot-00021,2,645
Screenshot-00021,3,523
Screenshot-00021,4,645
Screenshot-00021,5,645
Screenshot-00021,6,739
Screenshot-00021,7,645
Screenshot-00021,8,650
Screenshot-00021,9,645
Screenshot-00022,1,730
Screenshot-00022,2,151
Screenshot-00022,3,586
Screenshot-00022,4,586
Screenshot-00022,5,586
Screenshot-00022,6,773
Screenshot-00022,7,228
Screenshot-00022,8,586
Screenshot-00022,9,586
Screenshot-00023,1,909
Screenshot-00023,2,671
Screenshot-00023,3,856
Screenshot-00023,4,909
Screenshot-00023,5,909
Screenshot-00023,6,909
Screenshot-00023,7,909
Screenshot-00023,8,261
Screenshot-00023,9,909
Screenshot-00024,1,499
Screenshot-00024,2,913
Screenshot-00024,3,895
Screenshot-00024,4,913
Screenshot-00024,5,913
Screenshot-00024,6,556
Screenshot-00024,7,412
Screenshot-00024,8,913
Screenshot-00024,9,913
Screenshot-00025,1,789
Screenshot-00025,2,788
Screenshot-00025,3,788
Screenshot-00025,4,788
Screenshot-00025,5,463
Screenshot-00025,6,788
Screenshot-00025,7,781
Screenshot-00025,8,788
Screenshot-00025,9,788
Screenshot-00026,1,861
Screenshot-00026,2,475
Screenshot-00026,3,475
Screenshot-00026,4,552
Screenshot-00026,5,701
Screenshot-00026,6,475
